"std",AAAAAAAAAA,AAAAAAAAAA,AAAAAAAAAA,300
"xcr",??????????,AAAAAAAAAA,AAAAAAAAAA,200
"hs",WWWWWWWWWW,AAAAAAAATT,APAPAPPPPT,154
"hyy16",WAWAWWWWWW,AWAATTTTTT,AAAAAAAAAA,150
"zjc",WWWWWWWWWW,AAWAAATTTT,AAAAAAAAAA,150
"xm45",WWWAWWWWWW,APAPTTTTTT,AAAAAAAAAA,138
"wly",AWWWWWWWWW,AAPWWWWWWW,AAAAAAAAAA,134
"tyq",??????????,WWPWAAAAAA,APPPAPPTPA,127
"ljt",WWWWWWWWWW,AWWATTTTTT,AAAAAAAAAA,120
"ZYY",AWWWWWWWWW,ATTTTTTTTT,AAAAAAAAAA,120
"zjr",WAWWWWWWWW,AWWWWWWWTT,AAAAAAAAAA,120
"yyt",??????????,AWWATTTTTT,AAAAAAAAAA,120
"xyq",WAWWWWWWWW,WWPWWWWWTT,AAAAAAAAAA,114
"zwx",??????????,AWWWWWWWWW,AAAAAAAAAA,110
"hzg",??????????,AWPWAAPPPP,WPPPPPPPPA,74
"Cxm",WAWWWWWWWW,AAWATTTTTT,APPPPPPPPP,72
"yjk",WAWWWWWWWW,??????????,AAAPPPPAPP,71
"Strayer",WAWWWWWWWW,AAWATTTTTT,APPPPPPPPP,59
"wx",??????????,AWPPTTTTTT,WPAAPPPPPP,48
"lwh",??????????,AWWWTTTTTT,APPPPPPPPP,37
"mew",WWWWWWWWWW,AWBBBBBBBB,WPPPPPPPPP,25
"wml",??????????,??????????,WWAPWWWWWP,19

"R=无法运行
T=超时
M=超内存
Y=运行时错误
B=崩溃
A=正确
W=错误的答案
P=得部分分
*=程序无输出
[=缺标准输入
]=无标准输出
?=无程序
^=自定义评测错误
-=编译错误"
